, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103121_realistic_utpSolver270.xml, Model[Modele USP], Solutions:1, Buildingtime:0,933s, Fails:3, Restarts:0, Variables:6771, Constraints:3653, Nodes:274, Backtracks:3, Resolutiontime:1,006s, Memory : 126.79 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver37.xml, Model[Modele USP], Solutions:1, Buildingtime:1,061s, Fails:4, Restarts:0, Variables:9895, Constraints:5179, Nodes:484, Backtracks:4, Resolutiontime:1,056s, Memory : 153.09 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103206_realistic_utpSolver285.xml, Model[Modele USP], Solutions:1, Buildingtime:0,986s, Fails:3, Restarts:0, Variables:9885, Constraints:5558, Nodes:364, Backtracks:3, Resolutiontime:1,420s, Memory : 217.84 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103331_realistic_utpSolver316.xml, Model[Modele USP], Solutions:1, Buildingtime:1,198s, Fails:1, Restarts:0, Variables:9132, Constraints:4956, Nodes:358, Backtracks:1, Resolutiontime:1,579s, Memory : 174.30 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103343_realistic_utpSolver319.xml, Model[Modele USP], Solutions:1, Buildingtime:1,180s, Fails:2, Restarts:0, Variables:16584, Constraints:9674, Nodes:585, Backtracks:2, Resolutiontime:1,726s, Memory : 220.74 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver7.xml, Model[Modele USP], Solutions:1, Buildingtime:1,012s, Fails:3, Restarts:0, Variables:9041, Constraints:5091, Nodes:282, Backtracks:3, Resolutiontime:2,022s, Memory : 191.24 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102833_realistic_utpSolver111.xml, Model[Modele USP], Solutions:1, Buildingtime:1,186s, Fails:6, Restarts:0, Variables:15776, Constraints:9160, Nodes:565, Backtracks:6, Resolutiontime:2,193s, Memory : 420.68 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102818_realistic_utpSolver88.xml, Model[Modele USP], Solutions:1, Buildingtime:1,272s, Fails:2, Restarts:0, Variables:23178, Constraints:13519, Nodes:858, Backtracks:2, Resolutiontime:2,289s, Memory : 502.96 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102926_realistic_utpSolver178.xml, Model[Modele USP], Solutions:1, Buildingtime:1,373s, Fails:3, Restarts:0, Variables:27560, Constraints:17832, Nodes:809, Backtracks:3, Resolutiontime:2,363s, Memory : 520.07 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102906_realistic_utpSolver156.xml, Model[Modele USP], Solutions:1, Buildingtime:1,370s, Fails:1, Restarts:0, Variables:25086, Constraints:14687, Nodes:920, Backtracks:1, Resolutiontime:2,452s, Memory : 429.88 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103118_realistic_utpSolver269.xml, Model[Modele USP], Solutions:1, Buildingtime:1,266s, Fails:3, Restarts:0, Variables:22090, Constraints:12211, Nodes:905, Backtracks:3, Resolutiontime:2,399s, Memory : 598.15 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102950_realistic_utpSolver213.xml, Model[Modele USP], Solutions:1, Buildingtime:1,321s, Fails:3, Restarts:0, Variables:23543, Constraints:14114, Nodes:839, Backtracks:3, Resolutiontime:2,374s, Memory : 563.35 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver30.xml, Model[Modele USP], Solutions:1, Buildingtime:1,246s, Fails:7, Restarts:0, Variables:20694, Constraints:11528, Nodes:850, Backtracks:7, Resolutiontime:2,915s, Memory : 508.28 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102833_realistic_utpSolver114.xml, Model[Modele USP], Solutions:1, Buildingtime:1,251s, Fails:21, Restarts:0, Variables:20986, Constraints:11244, Nodes:927, Backtracks:21, Resolutiontime:2,740s, Memory : 424.78 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver11.xml, Model[Modele USP], Solutions:1, Buildingtime:1,254s, Fails:3, Restarts:0, Variables:21146, Constraints:11546, Nodes:846, Backtracks:3, Resolutiontime:3,073s, Memory : 632.72 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102833_realistic_utpSolver112.xml, Model[Modele USP], Solutions:1, Buildingtime:1,392s, Fails:6, Restarts:0, Variables:25415, Constraints:14862, Nodes:958, Backtracks:6, Resolutiontime:3,155s, Memory : 428.41 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102903_realistic_utpSolver154.xml, Model[Modele USP], Solutions:1, Buildingtime:1,582s, Fails:2, Restarts:0, Variables:32859, Constraints:19111, Nodes:1241, Backtracks:2, Resolutiontime:3,136s, Memory : 711.16 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102753_realistic_utpSolver27.xml, Model[Modele USP], Solutions:1, Buildingtime:1,675s, Fails:5, Restarts:0, Variables:38628, Constraints:21736, Nodes:1430, Backtracks:5, Resolutiontime:3,676s, Memory : 717.94 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103320_realistic_utpSolver313.xml, Model[Modele USP], Solutions:1, Buildingtime:1,492s, Fails:6, Restarts:0, Variables:28498, Constraints:17379, Nodes:985, Backtracks:6, Resolutiontime:4,314s, Memory : 659.96 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103157_realistic_utpSolver283.xml, Model[Modele USP], Solutions:1, Buildingtime:1,439s, Fails:2, Restarts:0, Variables:31328, Constraints:17478, Nodes:1251, Backtracks:2, Resolutiontime:3,391s, Memory : 697.74 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102758_realistic_utpSolver60.xml, Model[Modele USP], Solutions:1, Buildingtime:1,365s, Fails:2, Restarts:0, Variables:26675, Constraints:15379, Nodes:1034, Backtracks:2, Resolutiontime:3,700s, Memory : 689.80 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103820_realistic_utpSolver348.xml, Model[Modele USP], Solutions:1, Buildingtime:1,706s, Fails:4, Restarts:0, Variables:44780, Constraints:28529, Nodes:1362, Backtracks:4, Resolutiontime:4,935s, Memory : 730.95 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver22.xml, Model[Modele USP], Solutions:1, Buildingtime:1,500s, Fails:2, Restarts:0, Variables:30773, Constraints:16587, Nodes:1297, Backtracks:2, Resolutiontime:4,156s, Memory : 669.04 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103808_realistic_utpSolver342.xml, Model[Modele USP], Solutions:1, Buildingtime:1,304s, Fails:279, Restarts:2, Variables:23973, Constraints:12731, Nodes:3363, Backtracks:2569, Resolutiontime:6,245s, Memory : 620.79 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver28.xml, Model[Modele USP], Solutions:1, Buildingtime:1,681s, Fails:11, Restarts:0, Variables:37022, Constraints:20829, Nodes:1446, Backtracks:13, Resolutiontime:4,962s, Memory : 786.98 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102906_realistic_utpSolver158.xml, Model[Modele USP], Solutions:1, Buildingtime:1,515s, Fails:117, Restarts:1, Variables:34881, Constraints:21038, Nodes:2406, Backtracks:1347, Resolutiontime:5,303s, Memory : 668.58 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102814_realistic_utpSolver82.xml, Model[Modele USP], Solutions:1, Buildingtime:1,650s, Fails:5, Restarts:0, Variables:42128, Constraints:25265, Nodes:1507, Backtracks:5, Resolutiontime:4,923s, Memory : 734.98 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102826_realistic_utpSolver100.xml, Model[Modele USP], Solutions:1, Buildingtime:1,670s, Fails:7, Restarts:0, Variables:40589, Constraints:24394, Nodes:1438, Backtracks:7, Resolutiontime:5,022s, Memory : 730.60 MB
